Appointment_Date,Attended,DNA
2023-09-01,1072881,253875
2023-09-02,33533,16220
2023-09-03,2782,935
2023-09-04,1265602,297420
2023-09-05,1216481,306855
2023-09-06,1159686,289380
2023-09-07,1166830,294305
2023-09-08,1122336,267155
2023-09-09,47867,22945
2023-09-10,4369,2385
2023-09-11,1327407,295580
2023-09-12,1254493,316225
2023-09-13,1169226,295795
2023-09-14,1171240,304430
2023-09-15,1147250,281475
2023-09-16,350238,314670
2023-09-17,23624,15280
2023-09-18,1380675,315695
2023-09-19,1305448,330875
2023-09-20,1217055,331095
2023-09-21,1223998,325775
2023-09-22,1177098,300610
2023-09-23,542631,477705
2023-09-24,40420,39570
2023-09-25,1408819,328490
2023-09-26,1364040,364155
2023-09-27,1266083,345240
2023-09-28,1263029,351980
2023-09-29,1229074,323090
2023-09-30,630951,554995
2023-10-01,34755,31645
2023-10-02,1435871,347090
2023-10-03,1391530,375540
2023-10-04,1324783,349630
2023-10-05,1315954,361230
2023-10-06,1247495,323940
2023-10-07,596750,479635
2023-10-08,17881,23705
2023-10-09,1460145,346460
2023-10-10,1376258,377840
2023-10-11,1302745,366355
2023-10-12,1269591,359345
2023-10-13,1245617,322225
2023-10-14,448776,377545
2023-10-15,15874,10855
2023-10-16,1430055,344905
2023-10-17,1350686,373125
2023-10-18,1260119,352125
2023-10-19,1235981,346120
2023-10-20,1192198,334895
2023-10-21,254895,208155
2023-10-22,9193,6445
2023-10-23,1333486,329100
2023-10-24,1289158,362400
2023-10-25,1215357,336975
2023-10-26,1197651,337670
2023-10-27,1125179,302195
2023-10-28,149106,116305
2023-10-29,7093,3290
2023-10-30,1362934,322515
2023-10-31,1306632,348440
2023-11-01,1237178,335425
2023-11-02,1211962,331125
2023-11-03,1164188,300585
2023-11-04,78665,60645
2023-11-05,4127,1660
2023-11-06,1409531,319510
2023-11-07,1336384,347730
2023-11-08,1257497,327700
2023-11-09,1241374,323695
2023-11-10,1201430,298945
2023-11-11,58114,43780
2023-11-12,3599,1915
2023-11-13,1398699,324860
2023-11-14,1313056,347495
2023-11-15,1218961,312745
2023-11-16,1224875,320335
2023-11-17,1191451,294625
2023-11-18,55429,37520
2023-11-19,3374,1110
2023-11-20,1410633,319450
2023-11-21,1322172,343455
2023-11-22,1248795,320760
2023-11-23,1230702,322745
2023-11-24,1176206,291700
2023-11-25,46850,37575
2023-11-26,3895,1565
2023-11-27,1395395,324050
2023-11-28,1335126,349475
2023-11-29,1240776,325140
2023-11-30,1223022,336585
2023-12-01,1144901,312390
2023-12-02,40198,27455
2023-12-03,3336,1150
2023-12-04,1367929,322870
2023-12-05,1302137,345070
2023-12-06,1238025,323670
2023-12-07,1210931,326490
2023-12-08,1164241,292110
2023-12-09,40381,25340
2023-12-10,3663,995
2023-12-11,1383598,319580
2023-12-12,1321391,343710
2023-12-13,1237862,318430
2023-12-14,1222983,322310
2023-12-15,1165790,294855
2023-12-16,39463,23530
2023-12-17,3261,1125
2023-12-18,1389775,317515
2023-12-19,1330046,345995
2023-12-20,1231532,315995
2023-12-21,1183970,310290
2023-12-22,1048546,260205
2023-12-23,23922,12930
2023-12-24,2148,870
2023-12-25,881,3185
2023-12-26,1900,1120
2023-12-27,1011266,265220
2023-12-28,1021544,242400
2023-12-29,974114,212795
2023-12-30,24655,12050
2023-12-31,2264,905
2024-01-01,1917,905
2024-01-02,1294116,323315
2024-01-03,1259442,293830
2024-01-04,1264664,292315
2024-01-05,1206542,264185
2024-01-06,39300,18635
2024-01-07,3567,970
2024-01-08,1420579,297345
2024-01-09,1371551,324570
2024-01-10,1304812,310370
2024-01-11,1283283,304085
2024-01-12,1248415,276955
2024-01-13,42002,21110
2024-01-14,3698,1175
2024-01-15,1449982,298760
2024-01-16,1362860,324165
2024-01-17,1275335,299320
2024-01-18,1266426,306955
2024-01-19,1237153,280285
2024-01-20,42094,21815
2024-01-21,3622,875
2024-01-22,1452180,303620
2024-01-23,1370912,335775
2024-01-24,1304077,303970
2024-01-25,1290630,310995
2024-01-26,1244632,278620
2024-01-27,42166,20500
2024-01-28,3527,1055
2024-01-29,1467340,303415
2024-01-30,1396810,330730
2024-01-31,1319766,306295
2024-02-01,1298018,313190
2024-02-02,1250583,283770
2024-02-03,41918,20970
2024-02-04,3890,1205
2024-02-05,1456036,302175
2024-02-06,1375063,321630
2024-02-07,1297802,299525
2024-02-08,1270623,313800
2024-02-09,1238737,282915
2024-02-10,42687,22010
2024-02-11,3450,1340
2024-02-12,1375133,300130
2024-02-13,1307186,320820
2024-02-14,1217332,288455
2024-02-15,1205544,294925
2024-02-16,1169403,266930
2024-02-17,41526,21195
2024-02-18,3724,1200
2024-02-19,1421287,297750
2024-02-20,1339930,326705
2024-02-21,1259905,309810
2024-02-22,1252095,301705
2024-02-23,1212631,279495
2024-02-24,43712,22825
2024-02-25,3626,1240
2024-02-26,1433729,307245
2024-02-27,1367129,327360
2024-02-28,1281077,304295
2024-02-29,1277706,313070
2024-03-01,1234991,297730
2024-03-02,43659,21010
2024-03-03,3769,1460
2024-03-04,1450443,308705
2024-03-05,1366301,323815
2024-03-06,1298329,306685
2024-03-07,1284943,307270
